ts_sec,open,high,low,close,volume
1748736000,2.418,2.433,2.38,2.41,4931434.0
1748750400,2.409,2.442,2.396,2.408,3445241.0
1748764800,2.407,2.416,2.349,2.391,5611536.0
1748779200,2.391,2.44,2.368,2.429,5065377.0
1748793600,2.429,2.47,2.383,2.431,8824740.0
1748808000,2.431,2.473,2.419,2.46,4284801.0
1748822400,2.46,2.478,2.411,2.419,4914531.0
1748836800,2.418,2.447,2.396,2.429,3828582.0
1748851200,2.429,2.442,2.372,2.386,7184500.0
1748865600,2.387,2.444,2.379,2.422,8809793.0
1748880000,2.422,2.442,2.386,2.402,5410590.0
1748894400,2.403,2.515,2.402,2.502,9488068.0
1748908800,2.502,2.577,2.494,2.511,9334686.0
1748923200,2.511,2.52,2.489,2.493,4764028.0
1748937600,2.493,2.527,2.474,2.51,4983527.0
1748952000,2.51,2.59,2.499,2.569,10164060.0
1748966400,2.569,2.583,2.536,2.557,6149820.0
1748980800,2.558,2.559,2.488,2.506,5328549.0
1748995200,2.505,2.576,2.489,2.544,6867547.0
1749009600,2.544,2.547,2.506,2.542,4309232.0
1749024000,2.541,2.562,2.507,2.509,5132963.0
1749038400,2.509,2.538,2.462,2.532,8952089.0
1749052800,2.532,2.537,2.477,2.478,4845887.0
1749067200,2.478,2.48,2.417,2.433,7043848.0
1749081600,2.433,2.473,2.422,2.451,4288109.0
1749096000,2.451,2.463,2.423,2.45,5018429.0
1749110400,2.45,2.477,2.43,2.465,5250307.0
1749124800,2.464,2.518,2.428,2.442,10508063.0
1749139200,2.443,2.446,2.288,2.324,16866240.0
1749153600,2.324,2.333,2.222,2.244,20012185.0
1749168000,2.245,2.306,2.24,2.304,7314036.0
1749182400,2.304,2.318,2.282,2.287,7123493.0
1749196800,2.287,2.312,2.269,2.288,6611099.0
1749211200,2.288,2.365,2.285,2.335,9082695.0
1749225600,2.334,2.357,2.293,2.301,7926277.0
1749240000,2.301,2.339,2.298,2.313,3387987.0
1749254400,2.312,2.387,2.299,2.381,5348826.0
1749268800,2.381,2.414,2.371,2.413,4878430.0
1749283200,2.413,2.454,2.393,2.429,7486641.0
1749297600,2.429,2.463,2.424,2.443,8284417.0
1749312000,2.442,2.447,2.406,2.416,6834103.0
1749326400,2.416,2.445,2.415,2.422,3008532.0
1749340800,2.422,2.427,2.396,2.397,7576511.0
1749355200,2.397,2.41,2.388,2.392,5156132.0
1749369600,2.392,2.413,2.37,2.412,4770949.0
1749384000,2.412,2.446,2.399,2.417,5877044.0
1749398400,2.416,2.447,2.416,2.441,3711431.0
1749412800,2.441,2.462,2.415,2.42,4047846.0
1749427200,2.42,2.434,2.387,2.398,5272733.0
1749441600,2.398,2.404,2.37,2.394,4466430.0
1749456000,2.395,2.482,2.386,2.472,9592450.0
