ts_sec,open,high,low,close,volume
1748736000,156.36,156.65,153.26,154.62,2220297.44
1748750400,154.63,155.87,154.02,154.35,1308315.68
1748764800,154.35,154.55,150.48,151.95,3821051.44
1748779200,151.95,154.51,150.51,154.07,2873663.6
1748793600,154.07,156.66,153.32,155.81,3637272.37
1748808000,155.8,157.85,155.08,157.62,1668703.05
1748822400,157.61,158.84,155.3,155.39,2801520.8
1748836800,155.38,156.64,154.58,155.44,2052502.5
1748851200,155.44,156.5,152.82,153.37,3438984.25
1748865600,153.36,154.42,151.52,153.09,4747845.46
1748880000,153.09,155.08,151.66,152.86,3130087.67
1748894400,152.87,157.17,152.84,156.74,2841317.52
1748908800,156.75,162.31,156.26,159.34,5150692.14
1748923200,159.35,160.13,158.12,159.75,1764069.2
1748937600,159.74,161.59,158.22,160.49,2494206.03
1748952000,160.49,163.57,159.35,162.12,4887314.46
1748966400,162.12,162.34,159.82,160.49,2879740.41
1748980800,160.48,160.53,154.0,155.08,4545000.75
1748995200,155.08,157.56,154.08,156.5,3184401.91
1749009600,156.5,156.96,155.61,156.34,1405093.78
1749024000,156.34,157.82,155.56,155.83,2071760.92
1749038400,155.83,157.93,154.51,157.05,4010058.13
1749052800,157.05,157.5,155.18,155.27,2313957.09
1749067200,155.27,155.55,152.78,153.18,2724495.03
1749081600,153.18,154.59,152.89,153.75,1819366.64
1749096000,153.74,154.09,151.75,152.36,2613362.93
1749110400,152.36,152.97,151.16,152.3,2061681.23
1749124800,152.31,154.35,148.32,150.81,7162073.52
1749139200,150.8,151.02,144.05,146.13,7124773.28
1749153600,146.12,146.52,141.43,144.21,7517331.89
1749168000,144.2,146.79,144.02,146.73,2669191.66
1749182400,146.74,148.19,146.54,147.29,2518434.64
1749196800,147.29,149.55,147.12,149.0,2680854.08
1749211200,149.0,152.56,149.0,151.01,5893758.56
1749225600,151.02,151.5,148.32,149.04,3120729.03
1749240000,149.03,149.91,147.6,147.76,1475737.26
1749254400,147.77,149.65,146.84,149.39,2323100.05
1749268800,149.4,152.8,148.9,152.3,2690357.14
1749283200,152.3,152.64,151.15,151.36,1616189.05
1749297600,151.36,152.34,150.61,150.92,1968932.62
1749312000,150.91,151.53,150.02,150.51,1612829.69
1749326400,150.5,151.44,149.64,149.98,1133194.82
1749340800,149.97,150.31,149.05,149.79,1262678.36
1749355200,149.79,150.46,149.0,149.22,1284515.88
1749369600,149.23,149.63,147.59,149.55,2114640.89
1749384000,149.55,151.36,148.93,150.63,2164588.41
1749398400,150.64,154.48,150.54,154.38,3258235.2
1749412800,154.38,155.3,152.06,152.37,2466828.85
1749427200,152.37,153.11,150.71,151.47,2174142.79
1749441600,151.46,151.81,149.5,150.77,2307755.42
1749456000,150.78,156.6,150.31,155.54,5388194.97
1749470400,155.54,155.77,152.93,154.93,4055150.66
1749484800,154.93,156.94,154.9,155.66,2861084.55
1749499200,155.66,161.7,155.62,161.09,4149859.01
1749513600,161.09,161.77,158.64,159.11,2861667.45
1749528000,159.11,159.57,157.33,158.4,2597524.01
1749542400,158.4,161.43,157.02,160.75,4356148.81
1749556800,160.74,161.94,156.23,157.96,6680575.64
1749571200,157.97,165.46,157.01,163.53,7918031.45
1749585600,163.53,165.62,162.82,165.06,3945036.4
1749600000,165.06,167.44,163.39,166.63,4571532.17
1749614400,166.64,167.1,164.28,166.58,3196020.14
1749628800,166.59,167.16,163.93,164.44,3206172.78
1749643200,164.44,168.3,163.66,167.18,7048286.29
1749657600,167.18,167.37,162.28,162.55,4349300.21
1749672000,162.54,163.81,159.14,160.88,4057834.36
1749686400,160.88,161.24,159.2,159.78,2878821.86
1749700800,159.78,160.52,158.15,158.69,2703119.48
1749715200,158.69,159.87,157.33,157.66,2693421.31
