ts_sec,open,high,low,close,volume
1763164800,37.493,37.8,37.31,37.627,208491.4
1763168400,37.626,38.122,37.532,38.068,158645.64
1763172000,38.068,38.697,37.925,38.685,314577.41
1763175600,38.685,38.859,38.52,38.817,299467.42
1763179200,38.816,38.817,38.311,38.458,204967.96
1763182800,38.457,38.661,38.328,38.593,151620.86
1763186400,38.593,38.9,38.567,38.738,200960.91
1763190000,38.738,39.292,38.734,39.118,271947.03
1763193600,39.117,39.218,38.777,39.015,395397.46
1763197200,39.014,39.56,38.872,38.936,294498.66
1763200800,38.936,39.199,38.801,38.996,176099.8
1763204400,38.997,39.066,38.468,38.66,206023.02
1763208000,38.659,39.015,38.568,38.767,221140.09
1763211600,38.767,39.046,38.599,39.031,169977.99
1763215200,39.03,39.064,38.51,38.917,218905.59
1763218800,38.917,39.297,38.73,39.201,230549.26
1763222400,39.2,39.2,38.774,39.096,210649.83
1763226000,39.096,39.125,38.502,38.791,456750.54
1763229600,38.791,39.001,38.717,38.796,128863.5
1763233200,38.796,38.93,38.575,38.669,101359.19
1763236800,38.668,38.705,38.327,38.451,140801.12
1763240400,38.45,38.816,38.358,38.368,163791.35
1763244000,38.366,38.622,38.293,38.612,86556.68
1763247600,38.611,38.727,38.458,38.567,183460.33
1763251200,38.569,38.641,38.312,38.451,145871.6
1763254800,38.451,38.63,38.033,38.392,310314.54
1763258400,38.392,38.848,38.258,38.737,204806.81
1763262000,38.732,38.875,38.538,38.657,164357.8
1763265600,38.656,38.943,38.532,38.754,223889.21
1763269200,38.754,39.007,38.736,38.838,135070.32
1763272800,38.837,39.262,38.798,39.113,180248.45
1763276400,39.116,39.286,39.02,39.187,148774.04
1763280000,39.189,39.294,38.984,39.104,267175.92
1763283600,39.104,39.772,38.877,39.74,359134.34
1763287200,39.741,40.502,39.589,40.045,853596.28
1763290800,40.044,40.201,39.066,39.269,734693.5
1763294400,39.267,39.525,38.912,39.104,378817.67
1763298000,39.104,39.222,38.33,38.656,748803.99
1763301600,38.656,38.873,38.55,38.65,242288.02
1763305200,38.65,38.682,38.054,38.167,382372.91
1763308800,38.166,38.492,37.808,37.913,544000.58
1763312400,37.911,37.994,37.45,37.853,571018.47
1763316000,37.852,38.477,37.67,37.88,549719.33
1763319600,37.88,38.349,37.82,38.048,337271.04
1763323200,38.049,38.469,38.002,38.035,184135.83
1763326800,38.036,38.129,37.499,37.85,432980.3
1763330400,37.852,38.507,37.561,38.278,341094.11
1763334000,38.279,38.763,37.738,38.699,585769.01
1763337600,38.698,39.025,38.182,38.865,525798.48
1763341200,38.865,38.985,38.333,38.36,235344.46
1763344800,38.36,38.712,38.253,38.386,185540.28
1763348400,38.39,38.718,38.378,38.717,167811.97
1763352000,38.716,38.757,38.448,38.546,105496.66
1763355600,38.545,38.671,38.24,38.366,196368.09
1763359200,38.367,38.579,38.222,38.523,120995.52
1763362800,38.524,38.696,38.4,38.53,230686.4
1763366400,38.531,38.82,38.51,38.735,241090.51
1763370000,38.735,38.853,38.3,38.818,229720.71
1763373600,38.818,38.941,38.652,38.758,158997.95
1763377200,38.758,39.24,38.716,39.214,376086.0
1763380800,39.213,39.298,38.755,38.815,364256.97
1763384400,38.816,38.843,37.327,37.702,1051234.76
1763388000,37.702,38.529,37.478,38.002,951882.82
1763391600,38.008,38.127,37.434,37.527,656209.39
1763395200,37.526,38.13,37.101,38.126,690838.84
1763398800,38.124,38.152,37.372,37.711,447965.76
1763402400,37.711,38.2,37.543,38.048,499903.63
