ts_sec,open,high,low,close,volume
1774396800,1.291,1.301,1.285,1.291,8443478.0
1774411200,1.292,1.306,1.264,1.275,11735350.0
1774425600,1.275,1.307,1.275,1.306,13166580.0
1774440000,1.307,1.311,1.278,1.28,15317300.0
1774454400,1.28,1.298,1.271,1.279,9669296.0
1774468800,1.279,1.287,1.268,1.279,6819036.0
1774483200,1.278,1.279,1.252,1.254,9825636.0
1774497600,1.254,1.255,1.227,1.233,10675304.0
1774512000,1.233,1.235,1.217,1.224,8621303.0
1774526400,1.224,1.239,1.217,1.22,11983665.0
1774540800,1.219,1.226,1.201,1.207,11347991.0
1774555200,1.206,1.232,1.203,1.223,10153940.0
1774569600,1.223,1.24,1.222,1.228,7149857.0
1774584000,1.228,1.237,1.22,1.236,5390526.0
1774598400,1.236,1.238,1.182,1.187,16688292.0
1774612800,1.186,1.192,1.175,1.18,19718732.0
1774627200,1.181,1.19,1.174,1.18,12531341.0
1774641600,1.18,1.184,1.168,1.179,6931476.0
1774656000,1.179,1.181,1.16,1.165,6826375.0
1774670400,1.165,1.177,1.161,1.174,3640589.0
1774684800,1.175,1.178,1.16,1.169,4458001.0
1774699200,1.17,1.187,1.161,1.184,10768630.0
1774713600,1.184,1.189,1.177,1.188,6328676.0
1774728000,1.187,1.191,1.164,1.172,6053070.0
1774742400,1.173,1.177,1.161,1.171,9286854.0
1774756800,1.17,1.173,1.162,1.162,4814268.0
1774771200,1.162,1.167,1.154,1.164,11902762.0
1774785600,1.164,1.165,1.149,1.158,16132882.0
1774800000,1.159,1.162,1.147,1.156,6441704.0
1774814400,1.156,1.175,1.129,1.164,12239732.0
1774828800,1.164,1.198,1.162,1.19,11019761.0
1774843200,1.19,1.207,1.186,1.204,14304107.0
1774857600,1.204,1.224,1.194,1.2,13796092.0
1774872000,1.2,1.207,1.176,1.18,12639701.0
1774886400,1.18,1.181,1.148,1.153,14347697.0
1774900800,1.154,1.174,1.148,1.16,8007837.0
1774915200,1.161,1.203,1.159,1.178,12734172.0
1774929600,1.179,1.186,1.172,1.185,7913600.0
1774944000,1.186,1.187,1.16,1.175,10402648.0
1774958400,1.174,1.199,1.171,1.173,15896961.0
1774972800,1.173,1.202,1.171,1.186,19202706.0
1774987200,1.186,1.189,1.175,1.188,6338665.0
1775001600,1.188,1.193,1.177,1.192,7279559.0
1775016000,1.192,1.227,1.187,1.217,10941397.0
1775030400,1.217,1.222,1.199,1.211,10457454.0
1775044800,1.211,1.229,1.2,1.205,17716496.0
1775059200,1.206,1.215,1.196,1.2,11076422.0
1775073600,1.201,1.205,1.183,1.19,6685551.0
1775088000,1.191,1.205,1.152,1.156,19165497.0
1775102400,1.155,1.167,1.144,1.164,10573825.0
1775116800,1.164,1.166,1.145,1.152,9560027.0
1775131200,1.152,1.17,1.138,1.156,16596868.0
1775145600,1.156,1.166,1.147,1.157,9557231.0
1775160000,1.157,1.163,1.152,1.162,11282285.0
1775174400,1.162,1.179,1.157,1.176,8981545.0
1775188800,1.176,1.211,1.173,1.204,13326219.0
1775203200,1.205,1.227,1.203,1.223,18431447.0
1775217600,1.223,1.228,1.201,1.204,11102755.0
1775232000,1.204,1.212,1.196,1.206,6771574.0
1775246400,1.206,1.221,1.203,1.208,6332316.0
1775260800,1.207,1.224,1.205,1.222,5593138.0
1775275200,1.222,1.233,1.217,1.23,7445093.0
1775289600,1.23,1.237,1.223,1.231,7435822.0
1775304000,1.23,1.268,1.23,1.263,18466130.0
1775318400,1.263,1.287,1.251,1.27,16402913.0
1775332800,1.269,1.273,1.251,1.254,7818683.0
1775347200,1.254,1.265,1.251,1.259,7581319.0
1775361600,1.26,1.27,1.237,1.239,13595370.0
1775376000,1.239,1.249,1.237,1.246,6071709.0
1775390400,1.247,1.263,1.232,1.246,12889974.0
1775404800,1.246,1.25,1.226,1.233,7964340.0
1775419200,1.232,1.252,1.222,1.246,12765532.0
1775433600,1.247,1.276,1.247,1.272,15452997.0
1775448000,1.273,1.279,1.262,1.267,11104729.0
1775462400,1.267,1.301,1.267,1.295,16614494.0
1775476800,1.296,1.302,1.269,1.278,13673401.0
1775491200,1.278,1.285,1.266,1.273,7393223.0
